TransactionID,PurchaseDate,PurchaseYear,PurchaseMonth,CustomerID,CustomerGovernorate,ProductID,ProductName,ProductBrand,ScentCategory,TargetGender,RecommendedSeason,BottleSize,OriginalUnitPrice_EGP,QuantityPurchased,IsPromotionApplied,DiscountPercent,DiscountedUnitPrice_EGP,TotalSaleAmount_EGP,CostToPriceRatio,TotalCostAmount_EGP,NetProfitAmount_EGP,PaymentStatus,CustomerRating
1,2023-01-01,2023,1,437,Assiut,17,Velour 17,Nile Essence,Musk,Unisex,AllSeasons,15ml,130,1,0,0.0,130.0,130.0,0.36,46.81,83.19,Paid,4.0
2,2023-01-01,2023,1,3659,Cairo,22,Elxair 22,Lumière Paris-Style,Oriental,Unisex,Winter,5ml,50,4,0,0.0,50.0,200.0,0.381,76.21,123.79,Paid,5.0
3,2023-01-01,2023,1,3223,Cairo,38,Rosewood 38,Aurum Scents,Floral,Female,AllSeasons,15ml,130,4,0,0.0,130.0,520.0,0.357,185.44,334.56,Paid,
4,2023-01-01,2023,1,214,Port Said,29,Rosewood 29,Desert Oud,Oriental,Male,Summer,10ml,100,1,0,0.0,100.0,100.0,0.372,37.24,62.76,Refunded,
5,2023-01-01,2023,1,658,Minya,38,Rosewood 38,Aurum Scents,Floral,Female,AllSeasons,3ml,30,1,1,25.0,22.5,22.5,0.441,13.22,9.28,Paid,
6,2023-01-01,2023,1,2226,Luxor,37,Silk 37,Silk Route,Oriental,Female,Summer,15ml,130,1,0,0.0,130.0,130.0,0.38,49.39,80.61,Paid,4.0
7,2023-01-01,2023,1,488,Zagazig,8,Rosewood 08,Lumière Paris-Style,Floral,Unisex,Summer,5ml,50,1,1,16.1,41.95,41.95,0.439,21.95,20.0,Paid,
8,2023-01-01,2023,1,912,Alexandria,36,Desert 36,Rosewood Atelier,Fruity,Male,Winter,5ml,50,1,0,0.0,50.0,50.0,0.401,20.07,29.93,Paid,
9,2023-01-01,2023,1,3213,Beni Suef,10,Desert 10,Aurum Scents,Fruity,Male,AllSeasons,5ml,50,2,0,0.0,50.0,100.0,0.356,35.63,64.37,Paid,5.0
10,2023-01-01,2023,1,1067,Port Said,36,Desert 36,Rosewood Atelier,Fruity,Male,Winter,30ml,300,1,0,0.0,300.0,300.0,0.396,118.69,181.31,Paid,
11,2023-01-01,2023,1,2637,Sohag,41,Silk 41,Aurum Scents,Woody,Unisex,AllSeasons,10ml,100,1,0,0.0,100.0,100.0,0.367,36.66,63.34,Paid,
12,2023-01-01,2023,1,231,Damietta,2,Lumière 02,Velour House,Floral,Female,AllSeasons,10ml,100,1,0,0.0,100.0,100.0,0.39,39.03,60.97,Paid,
13,2023-01-01,2023,1,1873,Mansoura,13,Aurum 13,Nile Essence,Woody,Unisex,AllSeasons,5ml,50,1,0,0.0,50.0,50.0,0.368,18.39,31.61,Paid,4.0
14,2023-01-01,2023,1,3136,Mansoura,29,Rosewood 29,Desert Oud,Oriental,Male,Summer,15ml,130,1,0,0.0,130.0,130.0,0.362,47.1,82.9,Paid,4.0
15,2023-01-01,2023,1,3474,Assiut,15,Nile 15,Midnight Bloom,Fruity,Female,AllSeasons,100ml,600,1,0,0.0,600.0,600.0,0.388,232.98,367.02,Paid,4.0
16,2023-01-01,2023,1,3578,Giza,30,Lumière 30,Aurum Scents,Floral,Female,AllSeasons,30ml,300,1,0,0.0,300.0,300.0,0.446,133.81,166.19,Paid,
17,2023-01-01,2023,1,3629,Luxor,45,Midnight 45,Amber & Co,Oriental,Male,Summer,10ml,100,3,0,0.0,100.0,300.0,0.445,133.36,166.64,Refunded,
18,2023-01-01,2023,1,3206,Luxor,27,Midnight 27,Desert Oud,Fruity,Unisex,Summer,10ml,100,2,0,0.0,100.0,200.0,0.439,87.72,112.28,Refunded,
19,2023-01-01,2023,1,2760,Sohag,7,Amber 07,Elxair Noir,Woody,Female,Summer,3ml,30,1,0,0.0,30.0,30.0,0.431,12.92,17.08,Paid,
20,2023-01-01,2023,1,2059,Luxor,26,Elxair 26,Aurum Scents,Citrus,Female,AllSeasons,30ml,300,3,0,0.0,300.0,900.0,0.421,378.87,521.13,Paid,
21,2023-01-01,2023,1,8,Mansoura,2,Lumière 02,Velour House,Floral,Female,AllSeasons,10ml,100,1,0,0.0,100.0,100.0,0.362,36.18,63.82,Paid,
22,2023-01-01,2023,1,1323,Aswan,42,Velour 42,Amber & Co,Woody,Male,AllSeasons,5ml,50,1,0,0.0,50.0,50.0,0.371,18.53,31.47,Paid,
23,2023-01-01,2023,1,3090,Ismailia,10,Desert 10,Aurum Scents,Fruity,Male,AllSeasons,5ml,50,1,0,0.0,50.0,50.0,0.411,20.54,29.46,Paid,
24,2023-01-01,2023,1,2692,Luxor,6,Midnight 06,Amber & Co,Fruity,Male,AllSeasons,5ml,50,1,0,0.0,50.0,50.0,0.409,20.43,29.57,Paid,
25,2023-01-01,2023,1,658,Beni Suef,15,Nile 15,Midnight Bloom,Fruity,Female,AllSeasons,100ml,600,2,0,0.0,600.0,1200.0,0.403,483.35,716.65,Pending,
26,2023-01-01,2023,1,482,Mansoura,33,Desert 33,Silk Route,Fruity,Male,Winter,10ml,100,2,1,14.1,85.9,171.8,0.357,71.36,100.44,Paid,3.0
27,2023-01-01,2023,1,2309,Beni Suef,30,Lumière 30,Aurum Scents,Floral,Female,AllSeasons,10ml,100,2,0,0.0,100.0,200.0,0.437,87.36,112.64,Refunded,5.0
28,2023-01-01,2023,1,395,Mansoura,20,Velour 20,Velour House,Fresh,Female,Summer,3ml,30,1,0,0.0,30.0,30.0,0.359,10.77,19.23,Refunded,
29,2023-01-01,2023,1,346,Mansoura,33,Desert 33,Silk Route,Fruity,Male,Winter,50ml,450,2,0,0.0,450.0,900.0,0.359,323.02,576.98,Paid,
30,2023-01-01,2023,1,14,Ismailia,2,Lumière 02,Velour House,Floral,Female,AllSeasons,100ml,600,1,0,0.0,600.0,600.0,0.443,265.7,334.3,Paid,
31,2023-01-01,2023,1,3447,Beni Suef,32,Amber 32,Silk Route,Woody,Male,AllSeasons,10ml,100,1,0,0.0,100.0,100.0,0.431,43.09,56.91,Refunded,
32,2023-01-01,2023,1,1756,Giza,12,Aurum 12,Velour House,Fresh,Male,AllSeasons,3ml,30,1,0,0.0,30.0,30.0,0.359,10.77,19.23,Paid,
33,2023-01-01,2023,1,3045,Tanta,13,Aurum 13,Nile Essence,Woody,Unisex,AllSeasons,10ml,100,1,0,0.0,100.0,100.0,0.359,35.93,64.07,Paid,
34,2023-01-01,2023,1,982,Alexandria,36,Desert 36,Rosewood Atelier,Fruity,Male,Winter,30ml,300,1,1,19.9,240.3,240.3,0.389,116.72,123.58,Paid,
35,2023-01-01,2023,1,2025,Cairo,3,Aurum 03,Lumière Paris-Style,Oriental,Male,Winter,15ml,130,3,0,0.0,130.0,390.0,0.393,153.33,236.67,Pending,
36,2023-01-01,2023,1,585,Giza,23,Midnight 23,Aurum Scents,Oriental,Male,Summer,3ml,30,1,0,0.0,30.0,30.0,0.435,13.05,16.95,Paid,
37,2023-01-01,2023,1,905,Fayoum,29,Rosewood 29,Desert Oud,Oriental,Male,Summer,10ml,100,1,0,0.0,100.0,100.0,0.443,44.25,55.75,Refunded,
38,2023-01-01,2023,1,347,Aswan,8,Rosewood 08,Lumière Paris-Style,Floral,Unisex,Summer,50ml,450,1,0,0.0,450.0,450.0,0.425,191.39,258.61,Paid,
39,2023-01-01,2023,1,1746,Port Said,11,Lumière 11,Lumière Paris-Style,Floral,Male,Summer,30ml,300,1,0,0.0,300.0,300.0,0.44,132.14,167.86,Paid,
40,2023-01-01,2023,1,343,Tanta,45,Midnight 45,Amber & Co,Oriental,Male,Summer,15ml,130,1,0,0.0,130.0,130.0,0.372,48.34,81.66,Paid,
41,2023-01-01,2023,1,269,Qena,27,Midnight 27,Desert Oud,Fruity,Unisex,Summer,3ml,30,2,0,0.0,30.0,60.0,0.449,26.96,33.04,Paid,
42,2023-01-01,2023,1,275,Suez,26,Elxair 26,Aurum Scents,Citrus,Female,AllSeasons,30ml,300,1,0,0.0,300.0,300.0,0.384,115.25,184.75,Paid,4.0
43,2023-01-01,2023,1,379,Port Said,41,Silk 41,Aurum Scents,Woody,Unisex,AllSeasons,30ml,300,1,0,0.0,300.0,300.0,0.369,110.6,189.4,Paid,
44,2023-01-01,2023,1,322,Zagazig,44,Silk 44,Aurum Scents,Citrus,Male,Winter,10ml,100,2,0,0.0,100.0,200.0,0.373,74.54,125.46,Paid,
45,2023-01-01,2023,1,3105,Beni Suef,38,Rosewood 38,Aurum Scents,Floral,Female,AllSeasons,5ml,50,1,0,0.0,50.0,50.0,0.355,17.73,32.27,Paid,
46,2023-01-01,2023,1,2613,Tanta,43,Midnight 43,Elxair Noir,Fresh,Female,Winter,50ml,450,1,0,0.0,450.0,450.0,0.439,197.35,252.65,Paid,
47,2023-01-01,2023,1,3290,Cairo,1,Rosewood 01,Desert Oud,Oriental,Male,Summer,5ml,50,1,0,0.0,50.0,50.0,0.377,18.83,31.17,Paid,
48,2023-01-01,2023,1,1723,Aswan,33,Desert 33,Silk Route,Fruity,Male,Winter,3ml,30,2,0,0.0,30.0,60.0,0.382,22.92,37.08,Paid,5.0
49,2023-01-01,2023,1,913,Damietta,8,Rosewood 08,Lumière Paris-Style,Floral,Unisex,Summer,5ml,50,1,0,0.0,50.0,50.0,0.439,21.96,28.04,Paid,
