OrderId,ProductID,Name,Month,BottleSize,Category,Gender,Season,SoldInSeason,DiscountPercent,CostPerBottle,SellingPrice,QuantitySold
1,24,Ultra Male,May,50ml,Oriental,Him,Winter,0,20.0,200,450,3
2,21,Musk Pink,February,30ml,Fruity,Her,Summer,0,30.0,150,300,4
3,1,Le Male Elixir,July,5ml,Oriental,Him,Winter,0,10.0,20,50,3
4,6,Oud,July,20ml,Musk,Unisex,Winter,0,10.0,45,200,2
5,20,Musk Roman,July,5ml,Musk,Unisex,All Seasons,1,30.0,20,50,10
6,2,Stronger With You,May,5ml,Fresh,Him,All Seasons,1,10.0,20,50,7
7,21,Musk Pink,October,100ml,Fruity,Her,Summer,0,30.0,350,600,3
8,7,Imperial Valley,August,100ml,Oriental,Him,Summer,1,50.0,350,600,5
9,23,Moon Sparkle,March,5ml,Gourmand,Her,Summer,0,10.0,20,50,3
10,8,Silver Scent,May,20ml,Oriental,Him,All Seasons,1,10.0,45,200,0
11,11,Lacoste White,August,10ml,Woody,Him,Summer,1,50.0,30,100,12
12,16,Very Sexy,February,20ml,Fruity,Her,All Seasons,1,60.0,45,200,3
13,4,Zara Gold,May,30ml,Woody,Him,All Seasons,1,20.0,150,300,2
14,14,Khamra,November,20ml,Musk,Unisex,Winter,1,60.0,45,200,6
15,13,Black Opium,June,50ml,Oriental,Him,Winter,0,20.0,200,450,0
16,19,Good Girl,July,5ml,Oriental,Her,All Seasons,1,30.0,20,50,12
17,24,Ultra Male,September,30ml,Oriental,Him,Winter,0,20.0,150,300,3
18,16,Very Sexy,April,50ml,Fruity,Her,All Seasons,1,60.0,200,450,8
19,10,Invictus,October,30ml,Oriental,Him,Summer,0,10.0,150,300,5
20,10,Invictus,January,30ml,Oriental,Him,Summer,0,10.0,150,300,0
21,11,Lacoste White,June,30ml,Woody,Him,Summer,1,60.0,150,300,7
22,20,Musk Roman,August,5ml,Musk,Unisex,All Seasons,1,30.0,20,50,4
23,8,Silver Scent,March,50ml,Oriental,Him,All Seasons,1,30.0,200,450,2
24,5,One Million,October,10ml,Woody,Him,All Seasons,1,50.0,30,100,2
25,9,Black XS L'exces,January,10ml,Oriental,Him,Summer,0,50.0,30,100,5
26,1,Le Male Elixir,August,30ml,Oriental,Him,Winter,0,30.0,150,300,0
27,3,Stronger With You Intensely,August,30ml,Fresh,Him,Winter,0,50.0,150,300,2
28,3,Stronger With You Intensely,October,20ml,Fresh,Him,Winter,0,50.0,45,200,4
29,19,Good Girl,March,5ml,Oriental,Her,All Seasons,1,30.0,20,50,10
30,18,Marshmallow,February,100ml,Fruity,Unisex,Winter,1,50.0,350,600,7
31,17,Yara Candy,July,50ml,Fruity,Her,Summer,1,60.0,200,450,3
32,12,Spicebomb,December,20ml,Woody,Him,Winter,1,10.0,45,200,2
33,18,Marshmallow,October,20ml,Fruity,Unisex,Winter,0,50.0,45,200,0
34,4,Zara Gold,March,100ml,Woody,Him,All Seasons,1,60.0,350,600,2
35,22,Elixir,May,20ml,Fresh,Him,Summer,1,30.0,45,200,2
36,13,Black Opium,April,10ml,Oriental,Him,Winter,0,10.0,30,100,4
37,23,Moon Sparkle,October,10ml,Gourmand,Her,Summer,0,30.0,30,100,3
38,4,Zara Gold,July,30ml,Woody,Him,All Seasons,1,20.0,150,300,3
39,12,Spicebomb,June,50ml,Woody,Him,Winter,0,50.0,200,450,2
40,17,Yara Candy,January,10ml,Fruity,Her,Summer,0,50.0,30,100,1
41,12,Spicebomb,August,10ml,Woody,Him,Winter,0,20.0,30,100,4
42,11,Lacoste White,June,100ml,Woody,Him,Summer,1,20.0,350,600,4
43,4,Zara Gold,January,5ml,Woody,Him,All Seasons,1,60.0,20,50,12
44,10,Invictus,March,30ml,Oriental,Him,Summer,0,10.0,150,300,0
45,6,Oud,September,10ml,Musk,Unisex,Winter,0,20.0,30,100,5
46,8,Silver Scent,September,30ml,Oriental,Him,All Seasons,1,60.0,150,300,3
47,17,Yara Candy,June,20ml,Fruity,Her,Summer,1,50.0,45,200,6
48,16,Very Sexy,October,5ml,Fruity,Her,All Seasons,1,30.0,20,50,3
49,15,Coconut Vanille,September,10ml,Musk,Unisex,Summer,1,50.0,30,100,5
50,9,Black XS L'exces,August,20ml,Oriental,Him,Summer,1,50.0,45,200,0
51,24,Ultra Male,March,5ml,Oriental,Him,Winter,1,20.0,20,50,8
52,3,Stronger With You Intensely,June,30ml,Fresh,Him,Winter,0,50.0,150,300,0
53,9,Black XS L'exces,October,50ml,Oriental,Him,Summer,0,20.0,200,450,3
54,3,Stronger With You Intensely,April,10ml,Fresh,Him,Winter,0,50.0,30,100,2
55,9,Black XS L'exces,August,100ml,Oriental,Him,Summer,1,30.0,350,600,5
56,24,Ultra Male,October,50ml,Oriental,Him,Winter,0,20.0,200,450,4
57,9,Black XS L'exces,July,5ml,Oriental,Him,Summer,1,50.0,20,50,0
58,22,Elixir,July,20ml,Fresh,Him,Summer,1,30.0,45,200,15
59,12,Spicebomb,March,30ml,Woody,Him,Winter,1,30.0,150,300,4
60,17,Yara Candy,June,30ml,Fruity,Her,Summer,1,10.0,150,300,1
61,11,Lacoste White,January,20ml,Woody,Him,Summer,0,20.0,45,200,2
62,7,Imperial Valley,February,20ml,Oriental,Him,Summer,0,20.0,45,200,1
63,19,Good Girl,July,30ml,Oriental,Her,All Seasons,1,50.0,150,300,6
64,24,Ultra Male,March,50ml,Oriental,Him,Winter,1,20.0,200,450,3
65,7,Imperial Valley,May,100ml,Oriental,Him,Summer,1,50.0,350,600,3
66,19,Good Girl,May,5ml,Oriental,Her,All Seasons,1,30.0,20,50,15
67,7,Imperial Valley,June,5ml,Oriental,Him,Summer,1,60.0,20,50,5
