ProductID,Name,Month,BottleSize,Category,Gender,Season,SoldInSeason,DiscountPercent,CostPerBottle,SellingPrice,QuantitySold
24,Ultra Male,November,3ml,Oriental,Him,Winter,1,27.48,13.36,30,145
8,Silver Scent,May,15ml,Oriental,Him,All Seasons,1,23.61,52.21,130,80
5,One Million,July,30ml,Woody,Him,All Seasons,1,9.77,151.06,300,68
23,Moon Sparkle,April,5ml,Gourmand,Her,Summer,0,20.17,29.37,50,60
16,Very Sexy,September,50ml,Fruity,Her,All Seasons,1,13.67,183.34,450,88
7,Imperial Valley,February,10ml,Oriental,Him,Summer,0,24.97,54.1,100,80
15,Coconut Vanille,July,5ml,Musk,Unisex,Summer,1,28.86,20.85,50,240
13,Black Opium,May,15ml,Oriental,Him,Winter,0,13.86,62.9,130,63
22,Elixir,August,100ml,Fresh,Him,Summer,1,16.62,258.27,600,73
7,Imperial Valley,June,15ml,Oriental,Him,Summer,1,24.14,81.52,130,116
24,Ultra Male,December,50ml,Oriental,Him,Winter,1,24.89,239.35,450,85
23,Moon Sparkle,December,100ml,Gourmand,Her,Summer,0,3.23,267.44,600,23
5,One Million,April,5ml,Woody,Him,All Seasons,1,20.49,20.98,50,155
4,Zara Gold,January,3ml,Woody,Him,All Seasons,1,10.64,19.07,30,239
13,Black Opium,June,30ml,Oriental,Him,Winter,0,4.84,184.54,300,50
2,Stronger With You,August,15ml,Fresh,Him,All Seasons,1,11.12,68.98,130,111
8,Silver Scent,October,10ml,Oriental,Him,All Seasons,1,0.22,42.62,100,148
11,Lacoste White,July,3ml,Woody,Him,Summer,1,6.44,18.45,30,228
24,Ultra Male,August,5ml,Oriental,Him,Winter,0,6.91,20.34,50,58
24,Ultra Male,January,100ml,Oriental,Him,Winter,1,24.25,269.38,600,66
4,Zara Gold,October,5ml,Woody,Him,All Seasons,1,29.12,30.95,50,188
22,Elixir,April,100ml,Fresh,Him,Summer,0,16.62,303.41,600,33
3,Stronger With You Intensely,May,5ml,Fresh,Him,Winter,0,6.82,20.4,50,84
18,Marshmallow,June,3ml,Fruity,Unisex,Winter,0,18.82,18.42,30,108
21,Musk Pink,January,15ml,Fruity,Her,Summer,0,17.15,55.65,130,83
22,Elixir,June,3ml,Fresh,Him,Summer,1,15.62,15.17,30,61
6,Oud,May,5ml,Musk,Unisex,Winter,0,3.9,25.12,50,92
22,Elixir,March,3ml,Fresh,Him,Summer,0,15.62,15.75,30,118
3,Stronger With You Intensely,March,3ml,Fresh,Him,Winter,1,13.3,15.62,30,180
13,Black Opium,January,3ml,Oriental,Him,Winter,1,0.68,14.15,30,169
12,Spicebomb,November,100ml,Woody,Him,Winter,1,5.01,322.55,600,70
8,Silver Scent,April,5ml,Oriental,Him,All Seasons,1,6.0,24.14,50,136
1,Le Male Elixir,November,5ml,Oriental,Him,Winter,1,13.17,26.67,50,217
19,Good Girl,November,5ml,Oriental,Her,All Seasons,1,4.34,26.7,50,165
9,Black XS L'exces,June,3ml,Oriental,Him,Summer,1,13.77,19.25,30,227
16,Very Sexy,October,5ml,Fruity,Her,All Seasons,1,13.48,27.95,50,208
10,Invictus,March,3ml,Oriental,Him,Summer,0,22.95,14.72,30,122
9,Black XS L'exces,March,5ml,Oriental,Him,Summer,0,17.06,25.52,50,104
22,Elixir,November,15ml,Fresh,Him,Summer,0,24.79,57.51,130,68
3,Stronger With You Intensely,August,10ml,Fresh,Him,Winter,0,16.64,50.57,100,63
18,Marshmallow,September,5ml,Fruity,Unisex,Winter,0,17.52,28.3,50,76
18,Marshmallow,December,5ml,Fruity,Unisex,Winter,1,17.52,26.82,50,32
10,Invictus,January,15ml,Oriental,Him,Summer,0,16.78,56.34,130,64
7,Imperial Valley,March,10ml,Oriental,Him,Summer,0,24.97,41.67,100,66
1,Le Male Elixir,December,3ml,Oriental,Him,Winter,1,23.22,17.75,30,239
23,Moon Sparkle,February,100ml,Gourmand,Her,Summer,0,3.23,285.88,600,32
23,Moon Sparkle,June,10ml,Gourmand,Her,Summer,1,8.44,61.01,100,157
6,Oud,January,10ml,Musk,Unisex,Winter,1,14.27,58.62,100,135
1,Le Male Elixir,April,30ml,Oriental,Him,Winter,0,2.83,132.84,300,24
3,Stronger With You Intensely,March,10ml,Fresh,Him,Winter,1,16.64,50.56,100,98
2,Stronger With You,April,30ml,Fresh,Him,All Seasons,1,27.8,185.54,300,79
20,Musk Roman,October,100ml,Musk,Unisex,All Seasons,1,2.48,297.24,600,77
22,Elixir,April,50ml,Fresh,Him,Summer,0,4.21,243.95,450,44
4,Zara Gold,October,10ml,Woody,Him,All Seasons,1,26.79,53.86,100,104
18,Marshmallow,November,3ml,Fruity,Unisex,Winter,1,18.82,13.97,30,268
5,One Million,July,3ml,Woody,Him,All Seasons,1,4.63,15.83,30,168
9,Black XS L'exces,July,5ml,Oriental,Him,Summer,1,17.06,29.38,50,247
15,Coconut Vanille,May,30ml,Musk,Unisex,Summer,1,7.98,124.03,300,114
18,Marshmallow,September,15ml,Fruity,Unisex,Winter,0,2.53,82.96,130,36
21,Musk Pink,October,5ml,Fruity,Her,Summer,0,14.72,31.29,50,83
2,Stronger With You,November,5ml,Fresh,Him,All Seasons,1,3.84,32.22,50,136
5,One Million,March,15ml,Woody,Him,All Seasons,1,29.03,70.97,130,148
7,Imperial Valley,September,100ml,Oriental,Him,Summer,1,20.47,363.61,600,90
8,Silver Scent,February,50ml,Oriental,Him,All Seasons,1,21.15,279.11,450,83
24,Ultra Male,June,5ml,Oriental,Him,Winter,0,6.91,26.17,50,101
19,Good Girl,February,15ml,Oriental,Her,All Seasons,1,17.63,75.1,130,123
8,Silver Scent,July,15ml,Oriental,Him,All Seasons,1,23.61,74.49,130,76
24,Ultra Male,November,50ml,Oriental,Him,Winter,1,24.89,280.06,450,90
12,Spicebomb,October,10ml,Woody,Him,Winter,0,23.52,42.58,100,51
13,Black Opium,September,10ml,Oriental,Him,Winter,0,21.67,54.52,100,75
11,Lacoste White,July,15ml,Woody,Him,Summer,1,7.02,57.47,130,176
4,Zara Gold,August,5ml,Woody,Him,All Seasons,1,29.12,24.96,50,211
23,Moon Sparkle,February,100ml,Gourmand,Her,Summer,0,3.23,252.93,600,31
1,Le Male Elixir,September,10ml,Oriental,Him,Winter,0,25.76,56.19,100,70
5,One Million,September,100ml,Woody,Him,All Seasons,1,14.09,246.85,600,76
6,Oud,February,10ml,Musk,Unisex,Winter,1,14.27,43.1,100,189
7,Imperial Valley,August,30ml,Oriental,Him,Summer,1,11.62,138.2,300,98
4,Zara Gold,May,50ml,Woody,Him,All Seasons,1,14.0,195.55,450,67
